time,par
2014-12-10 05:56:15,-0.265
2014-12-10 05:59:15,-0.265
2014-12-10 06:02:16,-0.265
2014-12-10 06:05:16,-0.291
2014-12-10 06:08:16,-0.24
2014-12-10 06:11:16,-0.265
2014-12-10 06:14:17,-0.265
2014-12-10 06:17:17,-0.265
2014-12-10 06:20:17,-0.265
2014-12-10 06:23:17,-0.265
2014-12-10 06:26:17,-2.379
2014-12-10 06:29:18,-0.265
2014-12-10 06:32:18,-0.265
2014-12-10 06:35:18,-0.265
2014-12-10 06:38:18,-0.265
2014-12-10 06:41:19,-0.265
2014-12-10 06:44:19,-0.24
2014-12-10 06:47:19,-0.265
2014-12-10 06:50:19,-0.265
2014-12-10 06:53:19,-0.265
2014-12-10 06:56:20,-0.265
2014-12-10 06:59:20,-0.265
2014-12-10 07:02:20,-0.265
2014-12-10 07:05:20,-0.265
2014-12-10 07:08:21,-0.265
2014-12-10 07:11:21,-0.265
2014-12-10 07:14:21,-0.265
2014-12-10 07:17:21,-0.265
2014-12-10 07:20:21,-0.367
2014-12-10 07:23:22,-0.24
2014-12-10 07:26:22,-0.265
2014-12-10 07:29:22,-0.265
2014-12-10 07:32:22,-0.265
2014-12-10 07:35:23,-0.265
2014-12-10 07:38:23,-0.265
2014-12-10 07:41:23,-0.265
2014-12-10 07:44:23,-0.265
2014-12-10 07:47:23,-0.265
2014-12-10 07:50:24,-0.265
2014-12-10 07:53:24,-0.24
2014-12-10 07:56:24,-0.24
2014-12-10 07:59:24,-0.265
2014-12-10 08:02:25,-2.634
2014-12-10 08:05:25,-0.24
2014-12-10 08:08:25,-0.265
2014-12-10 08:11:25,-0.265
2014-12-10 08:14:25,-0.265
2014-12-10 08:17:26,-5.945
2014-12-10 08:20:26,-0.265
2014-12-10 08:23:26,-0.265
2014-12-10 08:26:26,-0.291
2014-12-10 08:29:26,-0.265
2014-12-10 08:32:27,-0.24
2014-12-10 08:35:27,-0.265
2014-12-10 08:38:27,-0.265
2014-12-10 08:41:27,-0.24
2014-12-10 08:44:28,-0.24
2014-12-10 08:47:28,-0.265
2014-12-10 08:50:28,-0.265
2014-12-10 08:53:28,-0.265
2014-12-10 08:56:29,-0.24
2014-12-10 08:59:29,-0.265
2014-12-10 09:02:29,-0.265
2014-12-10 09:05:29,-0.265
2014-12-10 09:08:29,-0.265
2014-12-10 09:11:30,-7.092
2014-12-10 09:14:30,-0.265
2014-12-10 09:17:30,-0.265
2014-12-10 09:20:30,-0.265
2014-12-10 09:23:31,-0.24
2014-12-10 09:26:31,-0.24
2014-12-10 09:29:31,-0.265
2014-12-10 09:32:31,-0.265
2014-12-10 09:35:31,-0.24
2014-12-10 09:38:32,-0.24
2014-12-10 09:41:32,-0.24
2014-12-10 09:44:32,-0.265
2014-12-10 09:47:32,-0.265
2014-12-10 09:50:33,-0.367
2014-12-10 09:53:33,-0.24
2014-12-10 09:56:33,-0.24
2014-12-10 09:59:33,-0.24
2014-12-10 10:02:34,-0.265
2014-12-10 10:05:34,-8.747
2014-12-10 10:08:34,-0.265
2014-12-10 10:11:34,-0.24
2014-12-10 10:14:34,-0.24
2014-12-10 10:17:35,-0.265
2014-12-10 10:20:35,-0.24
2014-12-10 10:23:35,-0.393
2014-12-10 10:26:35,-0.393
2014-12-10 10:29:35,-0.24
2014-12-10 10:32:36,-0.24
2014-12-10 10:35:36,-0.24
2014-12-10 10:38:36,-0.265
2014-12-10 10:41:36,-0.953
2014-12-10 10:44:37,-0.24
2014-12-10 10:47:37,-0.24
2014-12-10 10:50:37,-0.24
2014-12-10 10:53:37,-0.265
2014-12-10 10:56:38,-0.265
2014-12-10 10:59:38,-0.265
2014-12-10 11:02:38,-0.265
2014-12-10 11:05:38,-0.24
2014-12-10 11:08:39,-0.24
2014-12-10 11:11:39,-0.24
2014-12-10 11:14:39,-0.24
2014-12-10 11:17:39,-0.24
2014-12-10 11:20:39,-0.24
2014-12-10 11:23:40,-0.24
2014-12-10 11:26:40,-0.265
2014-12-10 11:29:40,-0.24
2014-12-10 11:32:40,-0.24
2014-12-10 11:35:40,-0.265
2014-12-10 11:38:41,-0.24
2014-12-10 11:41:41,-0.265
2014-12-10 11:44:41,-0.265
2014-12-10 11:47:41,-0.265
2014-12-10 11:50:42,-0.265
2014-12-10 11:53:42,-0.24
2014-12-10 11:56:42,-0.24
2014-12-10 11:59:42,-0.265
2014-12-10 12:02:42,-0.214
2014-12-10 12:05:43,-0.24
2014-12-10 12:08:43,-0.214
2014-12-10 12:11:43,-0.214
2014-12-10 12:14:43,-0.214
2014-12-10 12:17:43,-0.214
2014-12-10 12:20:44,-0.214
2014-12-10 12:23:44,-0.214
2014-12-10 12:26:44,-0.24
2014-12-10 12:29:44,-0.214
2014-12-10 12:32:45,-0.24
2014-12-10 12:35:45,-0.24
2014-12-10 12:38:45,-0.24
2014-12-10 12:41:45,-0.214
2014-12-10 12:44:46,-0.24
2014-12-10 12:47:46,-0.24
2014-12-10 12:51:00,-3.067
2014-12-10 12:54:00,-0.214
2014-12-10 12:57:01,-0.24
2014-12-10 13:00:01,-0.214
2014-12-10 13:03:01,-0.214
2014-12-10 13:06:01,-0.214
2014-12-10 13:09:02,-0.24
